id,title,authority,local_government,source_type,canonical_url,status
c42b4fd1-8901-5964-bba3-d59108e76f98,"Map 12 - Yangebup locality (PDF, 1.71MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map12_cockburn_tps3_yangebup_locality.pdf,active
65503e4f-1ac2-5002-b52c-dace757564a1,"Map 13 - Success locality (PDF, 1.59MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map13_cockburn_tps3_success_locality.pdf,active
bcb2d793-d66d-5f61-b76f-73586c4d37ec,"Map 14 - Cockburn Sound Marina locality (PDF, 1.05MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map14_cockburn_tps3_cockburn_sound_marina_loc.pdf,active
9221df4c-af3e-5f10-81fb-586e4520ae15,"Map 15 - Henderson locality North (PDF, 1MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map15_cockburn_tps3_henderson_locality_north.pdf,active
0c20a3c8-b09f-593e-a2b2-c77d799091af,"Map 16 - Beeliar locality (PDF, 1.22MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map16_cockburn_tps3_beeliar_locality.pdf,active
33d5be71-05cf-57a5-80ff-27661a2b9452,"Map 17 - Attwell locality (PDF, 2.18MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map17_cockburn_tps3_attwell_locality.pdf,active
10ccf2bc-f24a-58bb-ad89-4f684bbcb38f,"Map 18 - Banjup locality Central (PDF, 1.68MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map18_cockburn_tps3_banjup_locality_central.pdf,active
dfc8a33a-849f-5a28-82ac-08cad0d80fc1,"Map 19 - Cockburn Sound locality (PDF, 1017.77KB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map19_cockburn_tps3_cockburn_sound_locality.pdf,active
caded1cd-6b27-5b3c-80cf-719df617796d,"Map 20 - Henderson locality South (PDF, 1.31MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map20_cockburn_tps3_henderson_locality_south.pdf,active
9403ac98-456b-5021-91b1-6454ea6d3fe4,"Map 21 - Wattleup locality (PDF, 1.22MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map21_cockburn_tps3_wattleup_locality.pdf,active
ca387cb4-591c-5e3c-9910-98c1594ee148,"Map 22 - Hammond Park locality (PDF, 1.82MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map22_cockburn_tps3_hammond_park_locality.pdf,active
ac73f7cb-fbf6-5a99-bbe9-a481d0eecc44,"Map 23 - Banjup locality South (PDF, 1.07MB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2026-03/map23_cockburn_tps3_banjup_locality_south.pdf,active
